era_id,era_label,avg_positive,avg_negative,pos_neg_ratio,start_year,end_year
REAGAN,Reagan (1981-1988),0.9329444006395071,0.941859883011682,0.9165763195435093,1981,1988
HWBUSH,HW Bush (1989-1992),0.935264792921741,0.9477706683097165,0.7028580146460537,1989,1992
CLINTON,Clinton (1993-2000),0.9390220200180412,0.9487560940071637,0.7145878329733621,1993,2000
GWBUSH,GW Bush (2001-2008),0.9379568781210768,0.9530746651484192,0.7166855654949393,2001,2008
OBAMA,Obama (2009-2016),0.9381323845220647,0.9530167199992396,0.6884092380746817,2009,2016
TRUMP,Trump (2017-2020),0.9352575288660244,0.9544417268828544,0.5850714157652542,2017,2020
