topic_id,top_words,topic_size,era
-1,,261,TRUMP
0,"mr, trump, north, trade, korea, tariffs, security, officials, trumps, south",318,TRUMP
1,"hong, kong, mr, police, party, protesters, xi, protests, kongs, mainland",202,TRUMP
2,"companies, stocks, investors, market, company, growth, markets, economic, economy, emissions",109,TRUMP
3,"virus, coronavirus, dr, health, outbreak, cases, pandemic, wuhan, officials, public",63,TRUMP
4,"restaurant, food, like, meat, chef, restaurants, asian, foods, tofu, cooking",21,TRUMP
5,"nba, team, league, teams, basketball, players, brown, game, womens, morey",13,TRUMP
6,"india, indian, border, indias, modi, dalai, delhi, lama, troops, mr",13,TRUMP
