topic_id,top_words,topic_size,era
-1,,208,GWBUSH
0,"trade, mr, market, company, billion, companies, markets, bank, oil, foreign",210,GWBUSH
1,"mr, party, officials, state, taiwan, rights, chen, political, security, hu",196,GWBUSH
2,"mr, like, ms, art, hong, kong, street, school, city, time",121,GWBUSH
3,"north, korea, mr, nuclear, south, korean, bush, iran, security, council",119,GWBUSH
4,"team, olympic, games, gold, cup, olympics, medal, womens, won, yao",66,GWBUSH
5,"food, health, sars, products, officials, dr, drug, dairy, disease, milk",63,GWBUSH
6,"train, miles, wheels, railway, horses, guangzhou, line, trip, 8620, factory",17,GWBUSH
