topic_id,top_words,topic_size,era
-1,,194,OBAMA
0,"mr, hong, north, kong, south, officials, korea, ms, like, party",448,OBAMA
1,"company, mr, companies, growth, billion, economy, market, solar, like, investors",199,OBAMA
2,"emissions, energy, pollution, climate, air, coal, environmental, carbon, greenhouse, change",40,OBAMA
3,"food, pork, cucumbers, meat, fish, street, like, restaurant, noodles, pecan",37,OBAMA
4,"oil, stocks, markets, fell, market, index, investors, rose, stock, prices",35,OBAMA
5,"team, players, won, game, coach, games, season, teams, womens, basketball",30,OBAMA
6,"mr, obama, trade, iran, russia, nuclear, sanctions, countries, oil, irans",17,OBAMA
