topic_id,top_words,topic_size,era
-1,,244,HWBUSH
0,"mr, students, officials, party, bush, today, soviet, democracy, foreign, political",458,HWBUSH
1,"companies, market, enterprises, company, economic, bank, economy, state, foreign, business",124,HWBUSH
2,"hong, kong, taiwan, british, 1997, mainland, britain, kongs, airport, colony",84,HWBUSH
3,"tibet, tibetans, dalai, tibetan, lama, population, lhasa, mongolia, qinghai, monks",53,HWBUSH
4,"fish, mr, like, book, minutes, ms, time, life, 12, restaurant",39,HWBUSH
5,"art, dr, museum, yani, homo, exhibition, paintings, fossils, scientists, painting",19,HWBUSH
6,"khmer, rouge, cambodia, vietnam, prince, vietnamese, hun, cambodian, sen, sihanouk",19,HWBUSH
