topic_id,top_words,topic_size,era
-1,,150,REAGAN
0,"mr, taiwan, hong, soviet, kong, party, relations, foreign, today, vietnam",456,REAGAN
1,"billion, trade, company, mr, economic, oil, agreement, today, foreign, joint",161,REAGAN
2,"classes, cooking, street, art, mr, food, class, like, cost, courses",120,REAGAN
3,"team, players, won, olympic, competition, world, game, games, medal, gold",41,REAGAN
4,"tibet, dalai, lama, tibetan, monks, lhasa, india, border, tibetans, indian",37,REAGAN
5,"church, vatican, catholics, catholic, bishop, pope, priests, religious, archbishop, paul",20,REAGAN
6,"province, floods, relief, drought, affected, killed, rain, news, reported, aid",15,REAGAN
